job_category,continent,experience_level,employment_type,company_size,work_year,salary_in_usd,salary_in_usd,salary_in_usd
,,,,,,count,mean,std
DATA_ENGINEERING,ASIA_PACIFIC,MI,FT,M,2024,6,125134.33333333333,69007.91085568862
DATA_ENGINEERING,ASIA_PACIFIC,SE,FL,M,2023,1,50000.0,
DATA_ENGINEERING,ASIA_PACIFIC,SE,FT,M,2023,2,127800.0,63498.188950551965
DATA_ENGINEERING,ASIA_PACIFIC,SE,FT,M,2024,2,230000.0,56568.5424949238
DATA_ENGINEERING,EUROPE,EN,FT,L,2020,1,54742.0,
DATA_ENGINEERING,EUROPE,EN,FT,L,2021,1,45390.0,
DATA_ENGINEERING,EUROPE,EN,FT,L,2022,1,59888.0,
DATA_ENGINEERING,EUROPE,EN,FT,L,2023,4,67237.25,73675.60876515828
DATA_ENGINEERING,EUROPE,EN,FT,M,2021,1,65013.0,
DATA_ENGINEERING,EUROPE,EN,FT,M,2022,5,51728.6,7028.31639156918
DATA_ENGINEERING,EUROPE,EN,FT,M,2023,10,60677.9,28102.9287222287
DATA_ENGINEERING,EUROPE,EN,FT,M,2024,6,41316.0,8627.997705145732
DATA_ENGINEERING,EUROPE,EN,FT,S,2023,2,117012.0,18367.805748101757
DATA_ENGINEERING,EUROPE,EX,FT,L,2020,1,79833.0,
DATA_ENGINEERING,EUROPE,EX,FT,M,2023,4,140758.0,46000.553511162594
DATA_ENGINEERING,EUROPE,MI,FT,L,2020,3,85713.66666666667,23604.307283488186
DATA_ENGINEERING,EUROPE,MI,FT,L,2021,4,57151.75,24707.482488441972
DATA_ENGINEERING,EUROPE,MI,FT,L,2023,3,64874.666666666664,45251.45184779526
DATA_ENGINEERING,EUROPE,MI,FT,L,2024,3,111009.66666666667,38534.3031899285
DATA_ENGINEERING,EUROPE,MI,FT,M,2022,39,81693.30769230769,18718.648294026614
DATA_ENGINEERING,EUROPE,MI,FT,M,2023,64,87088.65625,61827.30161293715
DATA_ENGINEERING,EUROPE,MI,FT,M,2024,34,67720.08823529411,33915.86960930849
DATA_ENGINEERING,EUROPE,MI,FT,S,2020,1,59303.0,
DATA_ENGINEERING,EUROPE,MI,FT,S,2021,1,66022.0,
DATA_ENGINEERING,EUROPE,MI,FT,S,2022,2,85366.0,27860.007178749973
DATA_ENGINEERING,EUROPE,MI,FT,S,2023,2,43731.0,23661.207112064254
DATA_ENGINEERING,EUROPE,MI,PT,L,2021,1,69741.0,
DATA_ENGINEERING,EUROPE,MI,PT,L,2022,1,52533.0,
DATA_ENGINEERING,EUROPE,SE,FT,L,2021,2,87739.5,12080.919356572165
DATA_ENGINEERING,EUROPE,SE,FT,L,2023,4,77669.0,22670.93606360355
DATA_ENGINEERING,EUROPE,SE,FT,M,2020,1,109024.0,
DATA_ENGINEERING,EUROPE,SE,FT,M,2021,2,81738.0,44884.31004259729
DATA_ENGINEERING,EUROPE,SE,FT,M,2022,22,65983.63636363637,22597.35275171146
DATA_ENGINEERING,EUROPE,SE,FT,M,2023,51,134446.6274509804,57543.69114158763
DATA_ENGINEERING,EUROPE,SE,FT,M,2024,36,104716.83333333333,59101.39664218725
DATA_ENGINEERING,EUROPE,SE,FT,S,2020,1,114047.0,
DATA_ENGINEERING,EUROPE,SE,FT,S,2021,1,76833.0,
DATA_ENGINEERING,EUROPE,SE,FT,S,2023,2,97171.0,15269.263832942308
DATA_ENGINEERING,NORTH_AMERICA,EN,FT,L,2020,1,70000.0,
DATA_ENGINEERING,NORTH_AMERICA,EN,FT,L,2021,2,76250.0,5303.300858899106
DATA_ENGINEERING,NORTH_AMERICA,EN,FT,L,2022,4,106250.0,26961.392150010848
DATA_ENGINEERING,NORTH_AMERICA,EN,FT,L,2023,2,95000.0,7071.067811865475
DATA_ENGINEERING,NORTH_AMERICA,EN,FT,L,2024,4,75299.5,79005.04372717816
DATA_ENGINEERING,NORTH_AMERICA,EN,FT,M,2022,15,136000.0,28485.5853271189
DATA_ENGINEERING,NORTH_AMERICA,EN,FT,M,2023,75,112677.01333333334,53452.44059290144
DATA_ENGINEERING,NORTH_AMERICA,EN,FT,M,2024,37,126755.2972972973,43558.06476472581
DATA_ENGINEERING,NORTH_AMERICA,EN,FT,S,2022,1,65000.0,
DATA_ENGINEERING,NORTH_AMERICA,EN,PT,M,2024,2,69200.0,33658.28278447966
DATA_ENGINEERING,NORTH_AMERICA,EX,FT,L,2024,1,150000.0,
DATA_ENGINEERING,NORTH_AMERICA,EX,FT,M,2022,20,215640.0,61720.55360122837
DATA_ENGINEERING,NORTH_AMERICA,EX,FT,M,2023,98,192277.3469387755,68593.53293118445
DATA_ENGINEERING,NORTH_AMERICA,EX,FT,M,2024,46,192741.39130434784,56116.9001509758
DATA_ENGINEERING,NORTH_AMERICA,MI,FL,L,2021,1,20000.0,
DATA_ENGINEERING,NORTH_AMERICA,MI,FT,L,2020,2,108000.0,2828.42712474619
DATA_ENGINEERING,NORTH_AMERICA,MI,FT,L,2021,9,120889.44444444444,54304.6269002723
DATA_ENGINEERING,NORTH_AMERICA,MI,FT,L,2022,1,135000.0,
DATA_ENGINEERING,NORTH_AMERICA,MI,FT,L,2023,4,133226.0,53568.62609152239
DATA_ENGINEERING,NORTH_AMERICA,MI,FT,L,2024,8,144325.0,55834.00781397865
DATA_ENGINEERING,NORTH_AMERICA,MI,FT,M,2020,1,130800.0,
DATA_ENGINEERING,NORTH_AMERICA,MI,FT,M,2021,2,102462.5,13169.863799599447
DATA_ENGINEERING,NORTH_AMERICA,MI,FT,M,2022,59,120154.22033898305,48155.995320906455
DATA_ENGINEERING,NORTH_AMERICA,MI,FT,M,2023,407,136751.04668304668,61174.906541327735
DATA_ENGINEERING,NORTH_AMERICA,MI,FT,M,2024,448,143493.5357142857,78462.9144529194
DATA_ENGINEERING,NORTH_AMERICA,SE,CT,L,2023,1,118539.0,
DATA_ENGINEERING,NORTH_AMERICA,SE,FT,L,2020,1,188000.0,
DATA_ENGINEERING,NORTH_AMERICA,SE,FT,L,2021,6,159036.83333333334,24955.547282451378
DATA_ENGINEERING,NORTH_AMERICA,SE,FT,L,2022,25,156819.44,47482.784165316174
DATA_ENGINEERING,NORTH_AMERICA,SE,FT,L,2023,33,169887.87878787878,56117.809993662864
DATA_ENGINEERING,NORTH_AMERICA,SE,FT,L,2024,4,182100.0,67434.51144134828
DATA_ENGINEERING,NORTH_AMERICA,SE,FT,M,2021,2,157500.0,10606.601717798212
DATA_ENGINEERING,NORTH_AMERICA,SE,FT,M,2022,354,153026.00564971752,48908.28699699203
DATA_ENGINEERING,NORTH_AMERICA,SE,FT,M,2023,1516,164179.15435356201,56895.61971005625
DATA_ENGINEERING,NORTH_AMERICA,SE,FT,M,2024,788,168825.03172588832,71373.31893136632
DATA_ENGINEERING,NORTH_AMERICA,SE,FT,S,2020,1,33511.0,
DATA_ENGINEERING,NORTH_AMERICA,SE,FT,S,2021,2,137500.0,31819.80515339464
DATA_ENGINEERING,NORTH_AMERICA,SE,FT,S,2022,1,48000.0,
DATA_ENGINEERING,OTHER,EN,FT,L,2023,1,43000.0,
DATA_ENGINEERING,OTHER,EN,FT,M,2022,2,18227.5,2506.693539306311
DATA_ENGINEERING,OTHER,EN,FT,M,2023,2,39605.0,1380.2724368761408
DATA_ENGINEERING,OTHER,EN,FT,M,2024,2,55333.0,6600.134695595235
DATA_ENGINEERING,OTHER,EN,FT,S,2020,1,100000.0,
DATA_ENGINEERING,OTHER,MI,FT,L,2021,1,28369.0,
DATA_ENGINEERING,OTHER,MI,FT,M,2021,3,42735.0,16143.285012660837
DATA_ENGINEERING,OTHER,MI,FT,M,2022,12,71761.83333333333,19220.32014128103
DATA_ENGINEERING,OTHER,MI,FT,M,2023,8,86770.25,30316.83849306002
DATA_ENGINEERING,OTHER,MI,FT,M,2024,2,39999.5,15084.708963052619
DATA_ENGINEERING,OTHER,MI,FT,S,2021,1,18000.0,
DATA_ENGINEERING,OTHER,SE,FT,L,2020,1,47899.0,
DATA_ENGINEERING,OTHER,SE,FT,M,2022,2,167500.0,45961.94077712559
DATA_ENGINEERING,OTHER,SE,FT,M,2023,12,68836.91666666667,20837.88556041106
DATA_ENGINEERING,OTHER,SE,FT,M,2024,10,72461.4,22231.64780317564
DATA_ENGINEERING,OTHER,SE,FT,S,2023,1,50000.0,
DATA_SCIENCE,ASIA_PACIFIC,EN,FT,L,2021,2,64875.5,49673.54427157377
DATA_SCIENCE,ASIA_PACIFIC,EN,FT,L,2022,1,40000.0,
DATA_SCIENCE,ASIA_PACIFIC,EN,FT,M,2021,1,28399.0,
DATA_SCIENCE,ASIA_PACIFIC,EN,FT,M,2022,3,41289.333333333336,36359.66026152243
DATA_SCIENCE,ASIA_PACIFIC,MI,FT,L,2020,1,40481.0,
DATA_SCIENCE,ASIA_PACIFIC,MI,FT,L,2022,4,47527.5,27054.788861370427
DATA_SCIENCE,ASIA_PACIFIC,MI,FT,L,2023,4,24327.75,7760.275827357342
DATA_SCIENCE,ASIA_PACIFIC,MI,FT,M,2021,1,33808.0,
DATA_SCIENCE,ASIA_PACIFIC,MI,FT,M,2023,2,108245.0,7520.78772470012
DATA_SCIENCE,ASIA_PACIFIC,MI,FT,M,2024,2,102627.0,19278.55928227003
DATA_SCIENCE,ASIA_PACIFIC,MI,FT,S,2021,1,16904.0,
DATA_SCIENCE,ASIA_PACIFIC,MI,FT,S,2024,2,95000.0,35355.33905932738
DATA_SCIENCE,ASIA_PACIFIC,SE,FT,L,2021,1,54094.0,
DATA_SCIENCE,ASIA_PACIFIC,SE,FT,L,2024,1,48019.0,
DATA_SCIENCE,ASIA_PACIFIC,SE,FT,M,2023,4,169525.75,64860.1252356433
DATA_SCIENCE,ASIA_PACIFIC,SE,FT,M,2024,2,144000.0,12727.922061357855
DATA_SCIENCE,EUROPE,EN,CT,L,2024,1,88888.0,
DATA_SCIENCE,EUROPE,EN,FL,M,2024,1,30000.0,
DATA_SCIENCE,EUROPE,EN,FT,L,2020,1,42000.0,
DATA_SCIENCE,EUROPE,EN,FT,L,2021,3,76402.66666666667,37078.42486316447
DATA_SCIENCE,EUROPE,EN,FT,L,2022,3,52408.0,27608.092636036992
DATA_SCIENCE,EUROPE,EN,FT,L,2023,4,60485.5,43248.258203847545
DATA_SCIENCE,EUROPE,EN,FT,M,2020,1,39916.0,
DATA_SCIENCE,EUROPE,EN,FT,M,2021,1,49646.0,
DATA_SCIENCE,EUROPE,EN,FT,M,2022,3,43840.0,10669.432974624284
DATA_SCIENCE,EUROPE,EN,FT,M,2023,7,66909.85714285714,55128.13153139562
DATA_SCIENCE,EUROPE,EN,FT,M,2024,9,43052.333333333336,12658.795677314645
DATA_SCIENCE,EUROPE,EN,FT,S,2020,3,54438.333333333336,7250.363186305451
DATA_SCIENCE,EUROPE,EN,FT,S,2022,1,52008.0,
DATA_SCIENCE,EUROPE,EN,PT,M,2022,1,110000.0,
DATA_SCIENCE,EUROPE,EN,PT,S,2020,1,21669.0,
DATA_SCIENCE,EUROPE,EX,FT,L,2022,1,84053.0,
DATA_SCIENCE,EUROPE,EX,FT,M,2023,4,186698.0,48679.86529699249
DATA_SCIENCE,EUROPE,EX,FT,S,2023,1,100416.0,
DATA_SCIENCE,EUROPE,MI,FT,L,2020,1,79833.0,
DATA_SCIENCE,EUROPE,MI,FT,L,2021,7,78730.85714285714,26138.176807297095
DATA_SCIENCE,EUROPE,MI,FT,L,2022,4,72386.5,36141.551308708375
DATA_SCIENCE,EUROPE,MI,FT,L,2023,4,111310.75,112977.72515375173
DATA_SCIENCE,EUROPE,MI,FT,L,2024,1,129545.0,
DATA_SCIENCE,EUROPE,MI,FT,M,2020,1,38776.0,
DATA_SCIENCE,EUROPE,MI,FT,M,2021,3,56975.0,8823.82842081599
DATA_SCIENCE,EUROPE,MI,FT,M,2022,24,81266.41666666667,31786.46708067782
DATA_SCIENCE,EUROPE,MI,FT,M,2023,40,81424.5,32755.31723912772
DATA_SCIENCE,EUROPE,MI,FT,M,2024,10,105686.3,47595.678214285144
DATA_SCIENCE,EUROPE,MI,FT,S,2020,3,60627.0,17475.30059827298
DATA_SCIENCE,EUROPE,MI,FT,S,2021,2,41135.0,22065.974213707403
DATA_SCIENCE,EUROPE,MI,FT,S,2022,5,80270.6,28129.880870704023
DATA_SCIENCE,EUROPE,MI,FT,S,2023,1,25912.0,
DATA_SCIENCE,EUROPE,SE,FT,L,2021,2,56974.5,5349.262799676232
DATA_SCIENCE,EUROPE,SE,FT,L,2022,2,88781.0,742.4621202458749
DATA_SCIENCE,EUROPE,SE,FT,L,2023,2,70179.0,7633.924809689967
DATA_SCIENCE,EUROPE,SE,FT,L,2024,1,323295.0,
DATA_SCIENCE,EUROPE,SE,FT,M,2021,1,77684.0,
DATA_SCIENCE,EUROPE,SE,FT,M,2022,16,50315.875,21817.24338797182
DATA_SCIENCE,EUROPE,SE,FT,M,2023,63,98669.77777777778,66306.39889386545
DATA_SCIENCE,EUROPE,SE,FT,M,2024,38,83993.28947368421,51567.92100579475
DATA_SCIENCE,EUROPE,SE,FT,S,2020,1,91237.0,
DATA_SCIENCE,EUROPE,SE,FT,S,2023,1,76508.0,
DATA_SCIENCE,EUROPE,SE,FT,S,2024,1,66666.0,
DATA_SCIENCE,NORTH_AMERICA,EN,FT,L,2021,1,58000.0,
DATA_SCIENCE,NORTH_AMERICA,EN,FT,L,2022,5,81364.6,24850.354420007774
DATA_SCIENCE,NORTH_AMERICA,EN,FT,L,2023,12,145782.66666666666,60234.48528773851
DATA_SCIENCE,NORTH_AMERICA,EN,FT,M,2021,2,90000.0,14142.13562373095
DATA_SCIENCE,NORTH_AMERICA,EN,FT,M,2022,12,115647.83333333333,40479.22261612815
DATA_SCIENCE,NORTH_AMERICA,EN,FT,M,2023,68,124548.75,54118.78824783661
